properties.Name,properties.Country,properties.high_temp,properties.in_europe
Strasbourg,France,2.98,yes
Pitești,Romania,2.95,yes
Zaporizhzhia,Ukraine,2.94,yes
Clermont-Ferrand,France,2.92,yes
Amiens,France,2.91,yes
Basel,Switzerland,2.9,yes
Olomouc,Czech Republic,2.9,yes
Stuttgart,Germany,2.89,yes
Cambridge,United Kingdom,2.88,yes
Karlsruhe,Germany,2.85,yes
Leeds,United Kingdom,2.85,yes
Eindhoven,Netherlands,2.81,yes
St. Pölten,Austria,2.81,yes
Leicester,United Kingdom,2.79,yes
Pardubice,Czech Republic,2.79,yes
Kraków,Poland,2.79,yes
Middlesbrough,United Kingdom,2.78,yes
Freiburg im Breisgau,Germany,2.78,yes
Rotterdam,Netherlands,2.78,yes
Sheffield,United Kingdom,2.76,yes
Simferopol,Ukraine,2.74,yes
Berlin,Germany,2.72,yes
Stornoway,United Kingdom,2.68,yes
Neubrandenburg,Germany,2.68,yes
Poitiers,France,2.67,yes
Dnipro,Ukraine,2.66,yes
Nijmegen,Netherlands,2.64,yes
Bordeaux,France,2.63,yes
Gorzów Wielkopolski,Poland,2.62,yes
Szczecin,Poland,2.62,yes
Utrecht,Netherlands,2.62,yes
Prague,Czech Republic,2.61,yes
Ipswich,United Kingdom,2.59,yes
Orléans,France,2.58,yes
Regensburg,Germany,2.58,yes
České Budějovice,Czech Republic,2.58,yes
Leipzig,Germany,2.56,yes
Rostock,Germany,2.56,yes
Maribor,Slovenia,2.54,yes
Koblenz,Germany,2.53,yes
Odense,Denmark,2.51,yes
Stoke-on-Trent,United Kingdom,2.46,yes
Cottbus,Germany,2.45,yes
Herning,Denmark,2.45,yes
Ventspils,Latvia,2.45,yes
Zwolle,Netherlands,2.41,yes
Lübeck,Germany,2.41,yes
Frankfurt,Germany,2.4,yes
Bistrița,Romania,2.4,yes
Troyes,France,2.39,yes
Charleroi,Belgium,2.39,yes
Hamburg,Germany,2.38,yes
Wilhelmshaven,Germany,2.38,yes
Bolzano,Italy,2.34,yes
Magdeburg,Germany,2.34,yes
Warsaw,Poland,2.33,yes
Stara Zagora,Bulgaria,2.33,yes
Kiel,Germany,2.3,yes
Groningen,Netherlands,2.3,yes
Białystok,Poland,2.29,yes
Poznań,Poland,2.29,yes
Copenhagen,Denmark,2.28,yes
Dortmund,Germany,2.26,yes
Kalisz,Poland,2.26,yes
Leeuwarden,Netherlands,2.24,yes
Koszalin,Poland,2.24,yes
Ulm,Germany,2.24,yes
Bremen,Germany,2.24,yes
Enschede,Netherlands,2.22,yes
Krasnodar,Russia,2.21,yes
Edinburgh,United Kingdom,2.21,yes
Birmingham,United Kingdom,2.2,yes
Cluj-Napoca,Romania,2.19,yes
Stavanger,Norway,2.18,yes
Reims,France,2.18,yes
Płock,Poland,2.18,yes
Dresden,Germany,2.13,yes
Visby,Sweden,2.11,yes
Nancy,France,2.11,yes
Graz,Austria,2.11,yes
Kaunas,Lithuania,2.1,yes
Inverness,United Kingdom,2.1,yes
Passau,Germany,2.09,yes
Radom,Poland,2.08,yes
Kyiv,Ukraine,2.08,yes
Münster,Germany,2.07,yes
Rivne,Ukraine,2.06,yes
Karlskrona,Sweden,2.06,yes
Aarhus,Denmark,2.04,yes
Bourges,France,2.04,yes
Poltava,Ukraine,2.02,yes
Saarbrücken,Germany,2.0,yes
Gdańsk,Poland,1.98,yes
Pervomaisk,Ukraine,1.97,yes
Linz,Austria,1.96,yes
Debrecen,Hungary,1.94,yes
Augsburg,Germany,1.93,yes
Łódź,Poland,1.93,yes
Uzhhorod,Ukraine,1.9,yes
Miskolc,Hungary,1.89,yes
Lutsk,Ukraine,1.88,yes
Erfurt,Germany,1.88,yes
Fort William,United Kingdom,1.87,yes
Kropyvnytskyi,Ukraine,1.87,yes
Bydgoszcz,Poland,1.85,yes
Khmelnytskyi,Ukraine,1.83,yes
Kramatorsk,Ukraine,1.83,yes
Munich,Germany,1.82,yes
Salzburg,Austria,1.82,yes
Friedrichshafen,Germany,1.81,yes
Metz,France,1.76,yes
Halmstad,Sweden,1.75,yes
Vestmannaeyjabær,Iceland,1.75,yes
Ternopil,Ukraine,1.73,yes
Kassel,Germany,1.73,yes
Reykjavík,Iceland,1.73,yes
Katowice,Poland,1.72,yes
Ostrołęka,Poland,1.71,yes
Oradea,Romania,1.69,yes
Kalmar,Sweden,1.69,yes
Ostrava,Czech Republic,1.67,yes
Zielona Góra,Poland,1.66,yes
Vinnytsia,Ukraine,1.63,yes
Bielefeld,Germany,1.62,yes
Ålesund,Norway,1.61,yes
Brest,Belarus,1.57,yes
Miercurea Ciuc,Romania,1.55,yes
Lublin,Poland,1.54,yes
Sumy,Ukraine,1.53,yes
Plzeň,Czech Republic,1.51,yes
Coburg,Germany,1.51,yes
Luhansk,Ukraine,1.45,yes
Vaduz,Liechtenstein,1.38,yes
Aalborg,Denmark,1.37,yes
Olsztyn,Poland,1.36,yes
Częstochowa,Poland,1.34,yes
Chemnitz,Germany,1.34,yes
Zhytomyr,Ukraine,1.31,yes
Tórshavn,Faroe Islands,1.3,yes
Nuremberg,Germany,1.29,yes
Fulda,Germany,1.29,yes
Banská Bystrica,Slovakia,1.23,yes
Lviv,Ukraine,1.23,yes
Liberec,Czech Republic,1.2,yes
Košice,Slovakia,1.14,yes
Kielce,Poland,1.11,yes
Hrodna,Belarus,1.09,yes
Carlisle,United Kingdom,1.01,yes
Šiauliai,Lithuania,1.01,yes
Luxembourg,Luxembourg,0.88,yes
Lipetsk,Russia,0.84,yes
Innsbruck,Austria,0.8,yes
Žilina,Slovakia,0.73,yes
Rossosh,Russia,0.71,yes
Bila Tserkva,Ukraine,0.7,yes
Donetsk,Ukraine,0.7,yes
Vilnius,Lithuania,0.61,yes
Stockholm,Sweden,0.56,yes
Chernihiv,Ukraine,0.55,yes
Riga,Latvia,0.52,yes
Aosta,Italy,0.46,yes
Daugavpils,Latvia,0.44,yes
Pinsk,Belarus,0.43,yes
Karlovy Vary,Czech Republic,0.33,yes
Utena,Lithuania,0.24,yes
Florø,Norway,0.24,yes
Jihlava,Czech Republic,0.23,yes
Mazyr,Belarus,0.21,yes
Kristiansand,Norway,0.16,yes
Klagenfurt,Austria,0.13,yes
Cherkasy,Ukraine,0.06,yes
Tula,Russia,0.06,yes
Gothenburg,Sweden,-0.06,yes
Uppsala,Sweden,-0.15,yes
Grozny,Russia,-0.17,yes
Baranavichy,Belarus,-0.26,yes
Homel,Belarus,-0.28,yes
Rēzekne,Latvia,-0.29,yes
Linköping,Sweden,-0.32,yes
Jönköping,Sweden,-0.48,yes
Navapolack,Belarus,-0.5,yes
Västerås,Sweden,-0.5,yes
Oryol,Russia,-0.51,yes
Liezen,Austria,-0.68,yes
Örebro,Sweden,-0.71,yes
Maykop,Russia,-0.72,yes
Bergen,Norway,-0.73,yes
Salihorsk,Belarus,-0.74,yes
Mariehamn,Finland,-0.76,yes
Sandefjord,Norway,-0.81,yes
Babruysk,Belarus,-0.81,yes
Pärnu,Estonia,-0.91,yes
Minsk,Belarus,-0.94,yes
Mahilyow,Belarus,-0.95,yes
Valmiera,Latvia,-0.96,yes
Lienz,Austria,-0.97,yes
Rostov-on-Don,Russia,-0.98,yes
Velikiye Luki,Russia,-1.23,yes
Kristiansund,Norway,-1.24,yes
Astrakhan,Russia,-1.31,yes
Gävle,Sweden,-1.33,yes
Viciebsk,Belarus,-1.35,yes
Karlstad,Sweden,-1.49,yes
Oslo,Norway,-1.65,yes
Zakopane,Poland,-1.67,yes
Smolensk,Russia,-1.9,yes
Bryansk,Russia,-2.05,yes
Tambov,Russia,-2.14,yes
Sankt Moritz,Switzerland,-2.51,yes
Falun,Sweden,-2.53,yes
Ísafjörður,Iceland,-2.75,yes
Hamar,Norway,-2.77,yes
Borisoglebsk,Russia,-2.96,yes
Tallinn,Estonia,-3.39,yes
Vyazma,Russia,-3.44,yes
Helsinki,Finland,-3.49,yes
Nalchik,Russia,-3.49,yes
Vladikavkaz,Russia,-3.54,yes
Kotka,Finland,-3.61,yes
Stavropol,Russia,-3.88,yes
Ryazan,Russia,-3.93,yes
Trondheim,Norway,-4.11,yes
Akureyri,Iceland,-4.11,yes
Volgodonsk,Russia,-4.29,yes
Pskov,Russia,-4.46,yes
Turku,Finland,-4.47,yes
Sundsvall,Sweden,-4.5,yes
Cherkessk,Russia,-4.53,yes
Tartu,Estonia,-4.88,yes
Rørvik,Norway,-5.02,yes
Moscow,Russia,-5.67,yes
Volgograd,Russia,-5.76,yes
Pori,Finland,-5.85,yes
Egilsstaðir,Iceland,-5.97,yes
Elista,Russia,-6.2,yes
Narva,Estonia,-6.34,yes
Umeå,Sweden,-6.46,yes
Tampere,Finland,-6.47,yes
Lahti,Finland,-6.93,yes
Tromsø,Norway,-7.03,yes
Tver,Russia,-7.39,yes
Veliky Novgorod,Russia,-7.46,yes
Narvik,Norway,-7.58,yes
Kamyshin,Russia,-7.67,yes
Saint Petersburg,Russia,-7.72,yes
Bodø,Norway,-7.87,yes
Alta,Norway,-8.31,yes
Lappeenranta,Finland,-8.46,yes
Vladimir,Russia,-8.64,yes
Östersund,Sweden,-8.91,yes
Penza,Russia,-9.28,yes
Vaasa,Finland,-9.53,yes
Arzamas,Russia,-9.56,yes
Petrozavodsk,Russia,-9.65,yes
Tikhvin,Russia,-9.65,yes
Ivanovo,Russia,-9.8,yes
Yaroslavl,Russia,-9.97,yes
Saransk,Russia,-9.97,yes
Apatity,Russia,-10.27,yes
Nizhny Novgorod,Russia,-10.32,yes
Jyväskylä,Finland,-10.43,yes
Saratov,Russia,-10.59,yes
Kokkola,Finland,-10.69,yes
Joensuu,Finland,-10.91,yes
Kostroma,Russia,-10.97,yes
Berezniki,Russia,-11.04,yes
Oral,Kazakhstan,-11.34,yes
Cherepovets,Russia,-11.48,yes
Ulyanovsk,Russia,-11.67,yes
Belomorsk,Russia,-11.71,yes
Perm,Russia,-12.16,yes
Kuopio,Finland,-12.19,yes
Ivalo,Finland,-12.26,yes
Naberezhnye Chelny,Russia,-12.54,yes
Storuman,Sweden,-12.61,yes
Cheboksary,Russia,-12.66,yes
Vologda,Russia,-12.67,yes
Vorkuta,Russia,-12.8,yes
Oulu,Finland,-12.8,yes
Sterlitamak,Russia,-12.85,yes
Syktyvkar,Russia,-13.24,yes
Sharya,Russia,-13.33,yes
Glazov,Russia,-13.35,yes
Kirov,Russia,-13.6,yes
Izhevsk,Russia,-13.68,yes
Rovaniemi,Finland,-14.13,yes
Ufa,Russia,-14.25,yes
Ukhta,Russia,-14.35,yes
Samara,Russia,-14.55,yes
Luleå,Sweden,-14.94,yes
Arkhangelsk,Russia,-15.13,yes
Syzran,Russia,-15.2,yes
Murmansk,Russia,-15.37,yes
Velsk,Russia,-15.42,yes
Kazan,Russia,-15.91,yes
Kotlas,Russia,-15.91,yes
Kajaani,Finland,-17.25,yes
Naryan-Mar,Russia,-17.88,yes
Kirkenes,Norway,-18.17,yes
Kiruna,Sweden,-19.84,yes
